Unnamed: 0,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,label
185,12:08:11.09,2.247,-1.00139,1.07646,-1.46667,0.4,-0.33333,2
186,12:08:11.16,1.81565,-1.59242,1.63223,-1.93333,0.53333,-0.26667,2
187,12:08:11.22,1.90107,-1.47125,1.22308,-2.43333,1.03333,-0.56667,2
188,12:08:11.29,1.82522,-1.43422,0.71482,-2.03333,1.0,-0.5,2
189,12:08:11.35,1.51025,-0.99311,-0.07394,-2.13333,0.66667,-0.3,2
190,12:08:11.41,1.15449,-0.42299,-0.42337,-1.93333,0.4,-0.2,2
191,12:08:11.48,1.09754,-0.85071,-0.5691,-1.63333,0.56667,-0.1,2
192,12:08:11.54,0.883,-1.06479,-0.56283,-1.9,0.33333,0.03333,2
193,12:08:11.60,0.55731,-0.97442,-1.06731,-1.63333,0.43333,0.03333,2
194,12:08:11.67,0.25436,-0.69584,-1.80833,-1.06667,0.33333,0.16667,2
195,12:08:11.73,-0.226,0.14699,-0.82228,-0.43333,0.2,0.2,2
196,12:08:11.79,-0.137,-0.00517,0.30043,-0.06667,-0.06667,0.16667,2
197,12:08:11.85,-0.392,-0.04146,0.69173,-0.13333,0.06667,0.1,2
198,12:08:11.91,-0.52,-0.19846,0.44818,-0.16667,0.13333,0.03333,2
199,12:08:11.98,0.058,-0.78282,-0.1163,-0.03333,0.0,-0.0,2
200,12:08:12.04,0.205,-0.76282,0.00112,0.13333,-0.06667,-0.0,2
201,12:08:12.10,0.019,-0.86546,0.1897,0.03333,-0.03333,0.03333,0
202,12:08:12.17,0.195,-0.78646,0.21763,0.03333,-0.03333,-0.0,0
203,12:08:12.23,0.303,-0.67217,0.24698,0.0,0.0,-0.0,0
204,12:08:12.29,0.058,-0.53517,0.21706,0.0,0.0,-0.0,0
205,12:08:12.35,0.136,-0.42,0.24407,0.0,0.0,-0.0,0
206,12:08:12.41,0.048,-0.391,0.02616,0.03333,0.0,-0.0,0
207,12:08:12.48,0.215,-0.342,-0.01504,0.06667,0.03333,-0.0,0
208,12:08:12.54,0.303,-0.18601,0.25311,0.0,0.0,-0.0,0
209,12:08:12.60,0.117,-0.01001,0.28023,0.06667,0.03333,-0.0,0
210,12:08:12.66,0.107,-0.11801,0.41294,0.0,0.03333,0.03333,0
211,12:08:12.73,0.038,-0.14701,0.25756,0.03333,0.03333,-0.0,0
212,12:08:12.79,0.195,-0.18601,0.23166,0.0,0.0,-0.0,0
213,12:08:12.86,0.146,-0.22601,0.1207,0.0,0.0,-0.0,0
214,12:08:12.92,0.274,-0.04025,0.13629,0.0,0.0,-0.0,0
215,12:08:12.99,0.166,0.04775,0.09856,0.0,0.0,-0.0,0
216,12:08:13.05,0.283,-0.05025,0.08798,0.0,0.0,-0.0,0
217,12:08:13.11,0.195,0.07775,0.15312,0.03333,0.0,-0.0,0
218,12:08:13.17,0.136,-0.01125,0.16845,0.0,0.03333,-0.0,0
219,12:08:13.24,0.264,0.11675,0.26431,0.0,0.0,-0.0,0
220,12:08:13.30,0.146,0.17575,0.2853,0.03333,0.0,-0.0,0
221,12:08:13.36,0.185,0.15575,0.37327,0.03333,0.0,-0.0,0
222,12:08:13.42,0.077,0.18575,0.29634,0.0,0.0,-0.0,0
223,12:08:13.49,0.274,0.06775,0.10556,0.0,0.0,-0.03333,0
224,12:08:13.55,0.215,0.07775,0.11592,0.0,0.0,-0.0,0
225,12:08:13.61,0.244,-0.03901,0.17417,0.0,0.0,-0.0,0
226,12:08:13.69,0.244,-0.05901,0.16098,0.0,0.0,-0.0,0
227,12:08:13.76,0.254,-1e-05,0.12013,0.0,0.0,-0.0,0
228,12:08:13.82,0.313,-0.02001,0.08882,0.0,0.0,-0.0,0
229,12:08:13.89,0.215,0.09799,0.17052,0.03333,0.03333,-0.0,0
230,12:08:13.95,0.15179,-0.06901,0.22463,0.0,0.0,-0.0,2
231,12:08:14.01,0.07279,0.07799,0.30336,0.0,0.0,-0.0,2
232,12:08:14.07,0.05379,0.08799,0.15892,0.06667,0.0,-0.03333,2
233,12:08:14.14,0.12179,0.13699,-0.0355,0.2,0.03333,-0.03333,2
234,12:08:14.20,0.08279,0.18575,0.0513,0.23333,-0.06667,-0.0,2
235,12:08:14.26,0.156,0.02823,0.1217,0.43333,0.0,0.03333,2
236,12:08:14.33,0.215,0.37139,-0.09539,0.53333,-0.2,0.03333,2
237,12:08:14.39,-0.147,0.24516,-0.15587,0.7,-0.3,0.13333,2
238,12:08:14.45,0.205,-0.53954,-0.5549,1.06667,-0.46667,0.13333,2
239,12:08:14.52,-0.72079,-0.73942,-1.24117,1.46667,-0.43333,0.23333,2
240,12:08:14.58,0.10142,-1.32879,-1.56172,1.6,-0.6,0.26667,2
241,12:08:14.64,-0.74769,-1.087,-1.10543,1.83333,-0.53333,0.26667,2
242,12:08:14.70,-0.39971,-0.73523,-0.14739,1.63333,-0.46667,0.26667,2
243,12:08:14.77,-0.50538,-0.86618,-0.16464,1.43333,-0.4,0.03333,2
244,12:08:14.83,0.09761,-1.01458,-0.50233,1.63333,-0.03333,-0.1,2
245,12:08:14.89,1.09701,-1.43309,-0.07866,1.86667,-0.83333,-0.0,2
246,12:08:14.96,1.25622,-1.77525,0.84084,2.1,-0.86667,0.36667,2
247,12:08:15.02,1.24289,-1.80075,1.61015,1.73333,-0.66667,0.23333,2
248,12:08:15.08,1.48252,-1.55654,1.16227,1.26667,-0.36667,0.13333,2
249,12:08:15.15,1.86381,-1.22265,1.15826,1.1,-0.13333,-0.0,2
250,12:08:15.21,2.2484,-0.82029,1.36636,0.13333,-0.16667,-0.0,2
251,12:08:15.27,2.6366,-0.51629,0.85897,-0.5,0.23333,-0.1,2
252,12:08:15.34,2.8074,-0.46619,0.79865,-0.83333,0.26667,-0.26667,2
253,12:08:15.40,2.94494,-0.02614,0.52792,-1.13333,0.43333,-0.33333,2
254,12:08:15.46,3.03081,-0.12461,0.39217,-1.3,0.73333,-0.26667,2
255,12:08:15.53,2.88191,-0.78842,0.88883,-1.76667,0.56667,-0.33333,2
256,12:08:15.59,2.36952,-0.39883,0.97953,-1.56667,0.7,-0.3,2
257,12:08:15.65,1.65607,-0.30032,0.90175,-1.5,0.8,-0.23333,2
258,12:08:15.72,1.00146,0.05552,0.64245,-1.9,1.26667,-0.3,2
259,12:08:15.78,0.86277,0.19159,0.14407,-1.9,0.73333,-0.2,2
260,12:08:15.84,1.37949,0.41225,-0.78127,-1.66667,0.66667,-0.16667,2
261,12:08:15.91,1.58029,0.09549,-0.69981,-1.66667,0.1,-0.0,2
262,12:08:15.97,0.139,0.578,-1.21157,-1.4,0.9,0.16667,2
263,12:08:16.03,-0.46758,0.87264,-1.84102,-1.33333,0.93333,0.03333,2
264,12:08:16.10,-0.235,1.56846,-0.85901,-0.76667,0.3,-0.06667,2
