,Scaler,Clusters,n_init,Init,Metric,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,Dunn Index,Silhouette Score Norm,Dunn Index Norm,Davies-Bouldin Score Norm,Calinski-Harabasz Score Norm,Combined Score
38,StandardScaler,2,20,random,euclidean,0.24065128764052632,1.600899737465042,76.34000525370352,1.1621557916611702,0.08152687514474292,0.21397036437074177,0.0,0.36169820259099666,0.16429886052662035
127,PowerTransformer,5,20,random,manhattan,0.23163217804487118,1.3815222995615712,61.05130416713824,1.133881532121633,0.035160534698858284,0.1895448829117985,0.32346526409352366,0.016023782749698873,0.14104861611346983
121,PowerTransformer,5,10,k-means++,manhattan,0.23057995347599608,1.36878576403225,61.05845119021894,1.1030207308834978,0.02975115342141042,0.16288494766588554,0.34224489279190057,0.016185375486912082,0.13776659234152716
118,PowerTransformer,4,20,random,euclidean,0.22873876703142543,1.4292883292421785,63.885741436257256,1.122516067047176,0.02028579804370922,0.1797265194614588,0.2530357269770621,0.08010983250838281,0.13328946924765323
116,PowerTransformer,4,20,k-means++,euclidean,0.22873876703142543,1.4292883292421785,63.885741436257256,1.122516067047176,0.02028579804370922,0.1797265194614588,0.2530357269770621,0.08010983250838281,0.13328946924765323
124,PowerTransformer,5,20,k-means++,euclidean,0.23621235462949067,1.3683370108219453,60.925776475260406,1.0353575297765036,0.05870676446493645,0.1044322669942459,0.34290656555584237,0.013185627185128538,0.1298078060500383
119,PowerTransformer,4,20,random,manhattan,0.2323682915364045,1.4292883292421785,63.885741436257256,1.0752891042252457,0.038944820541408104,0.1389282342523905,0.2530357269770621,0.08010983250838281,0.1277546535698109
122,PowerTransformer,5,10,random,euclidean,0.23508898844299958,1.3730488516518708,60.99956571424218,0.9901625761144845,0.05293165124607359,0.06538938768680386,0.3359591016188756,0.014853986860102477,0.11728353185296388
117,PowerTransformer,4,20,k-means++,manhattan,0.22987142073696948,1.4489160773982332,63.822686170167835,1.0608572866075658,0.026108657469194836,0.12646091947986512,0.2240952178639371,0.07868416577580782,0.11383724014720123
126,PowerTransformer,5,20,random,euclidean,0.23381435464823488,1.3828569416309822,61.01689967916771,0.9844704151294325,0.04637888638108507,0.06047206094276332,0.3214973755377174,0.015245904279067924,0.11089855678515842
49,StandardScaler,4,10,k-means++,manhattan,0.23337458841488593,1.4611364978941488,64.67987754831631,1.0168163859370767,0.04411809215569002,0.0884149999657586,0.20607658485945943,0.09806508837065238,0.1091686913378901
53,StandardScaler,4,20,k-means++,manhattan,0.234865377691236,1.4724540817281366,64.7194234582102,0.9963334797666317,0.05178209073417726,0.0707202891920997,0.18938915665924363,0.09895921334453119,0.10271268748251294
48,StandardScaler,4,10,k-means++,euclidean,0.22586500412223576,1.4724540817281366,64.71942345821019,0.9607494760327274,0.005512070327568155,0.03998008811903319,0.18938915665924363,0.09895921334453087,0.08346013211259395
52,StandardScaler,4,20,k-means++,euclidean,0.22586500412223576,1.4724540817281366,64.71942345821019,0.9607494760327274,0.005512070327568155,0.03998008811903319,0.18938915665924363,0.09895921334453087,0.08346013211259395
54,StandardScaler,4,20,random,euclidean,0.22479280463646184,1.4722726031955302,64.66501444392773,0.9678796345644853,0.0,0.0461396678163634,0.1896567411567099,0.09772903660553034,0.08338136139465091
50,StandardScaler,4,10,random,euclidean,0.22479280463646184,1.4722726031955302,64.66501444392773,0.9678796345644853,0.0,0.0461396678163634,0.1896567411567099,0.09772903660553034,0.08338136139465091
113,PowerTransformer,4,10,k-means++,manhattan,0.23357387406439847,1.5262372055462317,63.716112964361145,1.0235494180157612,0.04514259974962473,0.09423151126892497,0.11008759987267148,0.07627456728347892,0.08143406954367502
115,PowerTransformer,4,10,random,manhattan,0.23368500143217652,1.5271136839942623,63.67451112593764,1.019797172685435,0.04571389443371795,0.0909900329689493,0.10879525944161378,0.0753339581839909,0.08020828625706798
55,StandardScaler,4,20,random,manhattan,0.22843348305757244,1.491975947525834,64.67196419615367,0.9562868959098462,0.018716363665047368,0.03612496795583091,0.1606047678169003,0.09788616908886812,0.07833306713166167
114,PowerTransformer,4,10,random,euclidean,0.2333012096623157,1.5277247461968517,63.794509570433334,1.0078292180018953,0.043740859327207275,0.08065119262494311,0.10789426707600352,0.07804709859062471,0.07758335440469466
51,StandardScaler,4,10,random,manhattan,0.23100287614372123,1.496804105270831,64.66712079262331,0.9144696354575799,0.03192535656042898,0.0,0.15348579817719743,0.09777666072082988,0.07079695386461407
112,PowerTransformer,4,10,k-means++,euclidean,0.22917414949309564,1.541939169882821,63.697918020425874,1.0262714792126535,0.02252405573731718,0.09658303722849358,0.08693553788552748,0.07586318330433917,0.07047645353891935
