,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,seconds
872,12:55:10.020000,0.52483,-1.196,0.05697,0.73333,-2.63333,0.23333,46510.02
873,12:55:10.060000,-0.08463,-1.687,0.08569,1.0,-2.0,0.33333,46510.06
874,12:55:10.090000,-1.54468,-0.21664,-0.34998,1.2,-1.96667,0.26667,46510.09
875,12:55:10.120000,-0.85652,-0.07458,-0.59259,0.8,-2.3,0.1,46510.12
876,12:55:10.140000,0.53248,-1.097,0.09077,0.63333,-2.16667,0.1,46510.14
877,12:55:10.180000,-1.28407,0.09262,-0.61608,0.9,-1.4,0.16667,46510.18
878,12:55:10.210000,-0.20389,-0.73851,0.46322,0.63333,-1.86667,-0.0,46510.21
879,12:55:10.240000,0.46854,-1.10916,2.0807,0.93333,-1.0,0.4,46510.24
880,12:55:10.270000,-0.80017,0.12761,1.61977,0.96667,-0.46667,0.33333,46510.27
881,12:55:10.300000,-1.38817,0.14661,0.71606,0.46667,-0.63333,0.1,46510.3
882,12:55:10.330000,0.453,-1.01923,1.44765,0.33333,-0.96667,-0.0,46510.33
883,12:55:10.360000,0.09799,-0.42123,1.737,0.53333,-0.03333,0.16667,46510.36
884,12:55:10.390000,-0.48101,-0.01923,1.27927,0.26667,0.0,0.03333,46510.39
885,12:55:10.420000,0.54899,-0.34323,1.28432,0.13333,-0.3,-0.03333,46510.42
886,12:55:10.450000,0.54899,-0.34323,1.28432,0.13333,-0.3,-0.03333,46510.45
887,12:55:10.480000,-0.16701,-0.07839,0.74375,0.0,0.13333,-0.03333,46510.48
888,12:55:10.510000,0.59,-0.47039,0.60946,-0.06667,-0.1,-0.1,46510.51
889,12:55:10.540000,0.688,-0.67816,0.57846,0.03333,0.1,-0.03333,46510.54
890,12:55:10.570000,-0.27017,-0.30516,0.08043,-0.06667,0.03333,-0.03333,46510.57
891,12:55:10.600000,0.12183,-0.58151,0.15287,-0.13333,-0.2,-0.1,46510.6
892,12:55:10.630000,0.48854,-0.85838,0.46765,0.1,0.03333,-0.03333,46510.63
893,12:55:10.670000,-0.08046,-0.72138,0.40026,0.06667,0.26667,-0.0,46510.67
894,12:55:10.700000,-0.33546,-0.65238,0.1323,-0.06667,0.1,-0.0,46510.7
895,12:55:10.730000,0.09018,-0.97871,0.10767,-0.03333,-0.06667,-0.1,46510.73
896,12:55:10.760000,0.08018,-0.94871,0.25501,0.06667,0.2,-0.0,46510.76
