,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,label
320,11:22:29.10,0.183,-0.196,0.24725,0.0,0.0,-0.0,1
321,11:22:29.16,0.497,-0.343,0.36357,-0.03333,0.03333,-0.0,1
322,11:22:29.23,0.203,-0.226,0.03639,0.0,0.03333,-0.0,1
323,11:22:29.29,0.282,-0.255,0.1908,0.03333,0.0,-0.0,1
324,11:22:29.36,0.10158,-0.206,0.14023,0.0,0.0,-0.03333,1
325,11:22:29.42,0.458,-0.167,0.50897,0.1,0.0,-0.03333,1
326,11:22:29.48,0.478,-0.13279,0.65893,0.0,-0.06667,-0.0,1
327,11:22:29.55,0.60158,-0.01479,1.21358,0.03333,0.46667,-0.0,1
328,11:22:29.61,1.63816,-0.03479,2.57922,0.06667,2.56667,0.2,1
329,11:22:29.68,3.31718,0.303,3.49782,-0.16667,3.36667,0.86667,1
330,11:22:29.74,2.27858,0.744,2.66774,-0.53333,3.8,1.26667,1
331,11:22:29.80,0.91728,0.34738,0.71987,-0.73333,3.03333,2.23333,1
332,11:22:29.87,0.07839,-0.214,0.06722,-0.8,3.03333,2.56667,1
333,11:22:29.93,-0.80981,-0.81189,-0.36866,-0.56667,2.56667,2.53333,1
334,11:22:29.99,-3.15715,-0.29752,-0.47023,-0.23333,1.63333,2.2,1
335,11:22:30.06,-4.16938,-0.43763,-0.29503,0.0,1.3,1.53333,1
336,11:22:30.12,-4.25554,-0.14094,-0.21839,0.0,1.06667,1.3,1
337,11:22:30.18,-5.08735,0.3206,-0.06782,0.06667,0.76667,0.8,1
338,11:22:30.24,-5.06735,0.2554,-0.02893,-0.03333,0.63333,0.66667,1
339,11:22:30.30,-5.79298,0.40728,-0.05205,0.03333,-0.16667,0.13333,1
340,11:22:30.37,-5.23186,0.7654,-0.0499,-0.03333,0.26667,-0.06667,1
341,11:22:30.43,-4.31454,1.19183,-0.03197,-0.06667,-0.7,-0.5,1
342,11:22:30.50,-4.44338,0.69525,-0.0385,-0.16667,-0.2,-0.66667,1
343,11:22:30.56,-4.45115,0.93083,-0.18202,0.0,-1.8,-1.26667,1
344,11:22:30.62,-4.20702,0.83048,-0.44887,-0.06667,-3.23333,-1.96667,1
345,11:22:30.69,-2.09425,1.88293,-0.54502,0.46667,-3.33333,-2.53333,1
346,11:22:30.75,1.53883,-0.253,-0.12841,0.86667,-3.83333,-2.2,1
347,11:22:30.81,1.08011,0.36451,-0.87933,1.0,-3.2,-2.0,1
348,11:22:30.88,2.28499,1.06069,0.53964,1.16667,-3.43333,-1.5,1
349,11:22:30.94,3.39779,1.038,0.73721,1.23333,-2.4,-0.7,1
350,11:22:31.00,3.796,0.74742,2.14021,1.3,-1.26667,-0.4,1
351,11:22:31.07,3.46562,0.24042,1.52648,0.8,-1.4,-0.23333,1
352,11:22:31.13,3.17661,1.04129,2.25017,0.8,-1.1,0.03333,1
353,11:22:31.19,2.70525,0.36949,2.75176,0.33333,-0.8,-0.06667,1
354,11:22:31.25,2.72525,0.74384,1.79292,0.33333,0.43333,-0.43333,1
355,11:22:31.32,3.19577,0.83284,1.5464,-0.03333,0.0,-0.0,1
356,11:22:31.38,2.35277,0.38949,1.00152,0.0,0.33333,-0.13333,1
357,11:22:31.44,2.29284,0.57549,0.4754,-0.03333,0.2,-0.03333,1
358,11:22:31.50,2.12584,0.49562,0.37423,-0.03333,0.16667,-0.03333,1
359,11:22:31.57,2.30049,0.57362,0.16726,-0.03333,0.06667,-0.0,1
360,11:22:31.63,2.45562,0.35529,0.12919,-0.06667,0.16667,-0.03333,1
361,11:22:31.69,2.05029,0.46329,0.0904,0.0,0.16667,-0.0,1
362,11:22:31.75,1.95642,0.51854,0.38273,-0.06667,0.23333,-0.03333,1
363,11:22:31.82,1.41831,0.34842,0.30887,-0.1,0.1,-0.0,1
364,11:22:31.88,1.23336,0.169,0.206,0.0,0.0,-0.0,1
365,11:22:31.94,1.029,0.12531,0.32665,-0.03333,0.0,-0.0,1
366,11:22:32.01,1.264,-0.16358,0.25403,-0.03333,0.06667,-0.03333,1
367,11:22:32.07,0.96579,0.13142,-0.09493,-0.1,0.1,-0.03333,1
368,11:22:32.13,0.99479,-0.20664,0.08063,-0.03333,0.0,-0.03333,1
369,11:22:32.20,0.72564,-0.08864,0.1123,-0.03333,0.0,-0.0,1
370,11:22:32.26,0.53964,0.09736,0.15547,-0.03333,0.03333,-0.03333,0
371,11:22:32.32,0.68158,-0.04964,0.38489,0.0,0.0,-0.0,0
372,11:22:32.38,0.55458,0.02421,0.0844,0.0,0.2,-0.06667,0
373,11:22:32.45,0.71669,0.06321,0.22069,0.0,0.0,-0.0,0
374,11:22:32.51,0.51069,0.03421,0.14683,0.03333,-0.03333,-0.0,0
375,11:22:32.57,0.62869,0.01421,0.3258,0.03333,0.06667,0.03333,0
376,11:22:32.63,0.419,-0.18179,0.19007,0.0,-0.03333,-0.0,0
377,11:22:32.70,0.282,-0.03479,0.16996,0.03333,0.0,-0.0,0
378,11:22:32.76,0.468,-0.12279,0.22386,0.0,0.0,-0.0,0
379,11:22:32.83,0.35,-0.24079,0.15541,0.0,0.03333,-0.0,0
380,11:22:32.89,0.389,-0.15279,0.3114,0.03333,0.0,-0.0,0
381,11:22:32.95,0.301,-0.11279,0.23214,0.06667,-0.03333,-0.0,0
382,11:22:33.02,0.262,-0.04479,0.323,0.03333,0.0,-0.0,0
383,11:22:33.08,0.37,-0.07379,0.23021,0.0,-0.03333,-0.03333,0
384,11:22:33.15,0.321,-0.01479,0.29037,0.0,0.0,-0.0,0
385,11:22:33.21,0.164,-0.07379,0.15836,0.0,0.0,-0.0,0
386,11:22:33.27,0.272,-0.11279,0.13225,0.0,0.0,-0.06667,0
387,11:22:33.34,0.36,-0.04479,0.21853,0.0,0.03333,-0.0,0
388,11:22:33.40,0.144,-0.04479,0.09833,0.03333,0.0,-0.03333,0
389,11:22:33.46,0.213,-0.04479,0.29913,0.0,0.0,-0.03333,0
390,11:22:33.52,0.331,-0.06379,0.17615,0.03333,0.0,-0.0,0
391,11:22:33.59,0.252,-0.00579,0.10885,0.03333,-0.03333,-0.03333,0
392,11:22:33.65,0.311,-0.01479,0.22216,0.06667,0.03333,-0.0,0
393,11:22:33.71,0.389,-0.10379,0.22338,0.0,0.0,-0.0,0
394,11:22:33.77,0.076,-0.05479,0.17921,0.03333,0.03333,-0.0,0
395,11:22:33.84,0.272,-0.22079,0.19401,0.03333,-0.03333,-0.0,1
396,11:22:33.90,0.233,-0.17179,0.14955,0.03333,0.0,-0.0,1
397,11:22:33.97,0.144,-0.09379,0.23505,0.1,0.03333,0.03333,1
398,11:22:34.03,0.134,-0.16179,0.1579,0.03333,-0.03333,-0.0,1
399,11:22:34.09,0.233,-0.20179,0.23747,0.03333,0.0,-0.0,1
400,11:22:34.16,0.38,-0.25079,0.28528,0.06667,0.03333,0.03333,1
401,11:22:34.22,0.409,-0.32464,0.32987,0.03333,-0.13333,-0.0,1
402,11:22:34.28,0.409,-0.24564,0.4499,0.16667,0.1,0.06667,1
403,11:22:34.35,1.59158,-0.43264,1.87394,0.36667,0.7,0.16667,1
404,11:22:34.41,1.07051,-0.21258,2.60229,0.33333,2.36667,0.03333,1
405,11:22:34.47,1.74499,0.36031,2.94605,0.06667,2.2,0.53333,1
406,11:22:34.54,2.61148,0.78236,3.63975,-0.66667,3.46667,1.2,1
407,11:22:34.60,2.5466,-0.60731,1.81373,-1.13333,3.43333,2.3,1
